ds,y,is_weekend,is_rush_hour,weather_factor,hour,day_of_week,temperature,temp_extreme,precipitation,heavy_rain
2024-01-01 00:00:00,37.0,0,0,0.97,0,0,21.675326914504776,0,0.0,0
2024-01-01 01:00:00,52.0,0,0,0.95,1,0,20.747708239536635,0,0.0,0
2024-01-01 02:00:00,31.0,0,0,0.98,2,0,25.001864005328876,0,1.5456761189595203,0
2024-01-01 03:00:00,49.0,0,0,1.03,3,0,26.834609084718164,0,0.0,0
2024-01-01 04:00:00,57.0,0,0,1.05,4,0,24.823402906599433,0,0.0,0
2024-01-01 05:00:00,43.0,0,0,1.04,5,0,24.510775774912478,0,0.0,0
2024-01-01 06:00:00,37.0,0,0,1.03,6,0,24.226910220266806,0,0.0,0
2024-01-01 07:00:00,315.0,0,1,0.98,7,0,27.666174412906976,0,0.0,0
2024-01-01 08:00:00,280.0,0,1,0.91,8,0,26.424225242355746,0,0.0,0
2024-01-01 09:00:00,337.0,0,1,1.06,9,0,29.558365287127476,0,0.838110995692476,0
2024-01-01 10:00:00,208.0,0,0,1.06,10,0,26.15232079779522,0,0.0,0
2024-01-01 11:00:00,187.0,0,0,1.09,11,0,31.15245334247357,0,0.0,0
2024-01-01 12:00:00,157.0,0,0,1.07,12,0,28.219081455055925,0,0.0,0
2024-01-01 13:00:00,219.0,0,0,1.06,13,0,32.361872560343905,0,0.0,0
2024-01-01 14:00:00,214.0,0,0,1.04,14,0,28.95082653973106,0,0.0,0
2024-01-01 15:00:00,192.0,0,0,1.09,15,0,25.51590072091689,0,0.0,0
2024-01-01 16:00:00,199.0,0,0,1.07,16,0,26.384002374748828,0,0.0,0
2024-01-01 17:00:00,327.0,0,1,1.07,17,0,25.427834741595763,0,0.0,0
2024-01-01 18:00:00,297.0,0,1,0.95,18,0,23.828642710992796,0,0.9721454723824512,0
2024-01-01 19:00:00,226.0,0,1,0.76,19,0,25.990057570495715,0,0.0,0
2024-01-01 20:00:00,163.0,0,0,0.91,20,0,22.385345117260915,0,0.0,0
2024-01-01 21:00:00,177.0,0,0,1.0,21,0,25.19169461949123,0,0.0,0
2024-01-01 22:00:00,102.0,0,0,0.96,22,0,22.403808410380844,0,0.0,0
2024-01-01 23:00:00,42.0,0,0,0.94,23,0,20.97707221070779,0,0.0,0
2024-01-02 00:00:00,21.0,0,0,0.5,0,1,20.209990131047118,0,0.0,0
2024-01-02 01:00:00,55.0,0,0,0.97,1,1,20.648716763061383,0,0.0,0
2024-01-02 02:00:00,37.0,0,0,0.97,2,1,27.562608929270628,0,0.0,0
2024-01-02 03:00:00,55.0,0,0,1.05,3,1,23.737634605605866,0,0.0,0
2024-01-02 04:00:00,64.0,0,0,0.94,4,1,23.994367351061577,0,0.0,0
2024-01-02 05:00:00,48.0,0,0,1.04,5,1,24.48386465835548,0,0.8340541291605923,0
2024-01-02 06:00:00,43.0,0,0,1.05,6,1,26.64681773907635,0,0.0,0
2024-01-02 07:00:00,255.0,0,1,0.98,7,1,25.958579184459687,0,0.0,0
2024-01-02 08:00:00,265.0,0,1,1.02,8,1,26.077931567755574,0,0.0,0
2024-01-02 09:00:00,214.0,0,1,0.94,9,1,26.47009160898636,0,0.0,0
2024-01-02 10:00:00,184.0,0,0,1.05,10,1,27.101562015949373,0,0.0,0
2024-01-02 11:00:00,142.0,0,0,0.79,11,1,29.592443627514147,0,0.0,0
2024-01-02 12:00:00,175.0,0,0,0.96,12,1,30.51003372496062,0,0.0,0
2024-01-02 13:00:00,157.0,0,0,0.99,13,1,29.14684633926366,0,0.0,0
2024-01-02 14:00:00,154.0,0,0,0.9,14,1,26.48173744725663,0,0.0,0
2024-01-02 15:00:00,151.0,0,0,1.09,15,1,22.598520637797773,0,0.0,0
2024-01-02 16:00:00,130.0,0,0,0.75,16,1,28.519821899257455,0,0.0,0
2024-01-02 17:00:00,225.0,0,1,0.99,17,1,26.112073406063153,0,0.0,0
2024-01-02 18:00:00,276.0,0,1,1.01,18,1,29.22615320390065,0,0.0,0
2024-01-02 19:00:00,306.0,0,1,1.07,19,1,21.695752040502956,0,0.0,0
2024-01-02 20:00:00,115.0,0,0,0.95,20,1,24.03854110314399,0,0.0,0
2024-01-02 21:00:00,139.0,0,0,1.07,21,1,23.60094480564418,0,0.0,0
2024-01-02 22:00:00,172.0,0,0,1.03,22,1,23.039419159144938,0,0.0,0
2024-01-02 23:00:00,49.0,0,0,0.98,23,1,23.773906049049305,0,0.0,0
2024-01-03 00:00:00,24.0,0,0,0.57,0,2,24.057771079796428,0,0.0,0
2024-01-03 01:00:00,40.0,0,0,1.06,1,2,25.115782696842697,0,0.0,0
2024-01-03 02:00:00,30.0,0,0,0.9,2,2,21.16133174213935,0,0.0,0
2024-01-03 03:00:00,21.0,0,0,0.52,3,2,23.009288078232807,0,0.0,0
2024-01-03 04:00:00,49.0,0,0,1.01,4,2,23.320080400574177,0,0.0,0
2024-01-03 05:00:00,45.0,0,0,1.09,5,2,24.70798541949026,0,0.0,0
2024-01-03 06:00:00,34.0,0,0,0.76,6,2,27.36100711611605,0,0.0,0
2024-01-03 07:00:00,280.0,0,1,1.05,7,2,27.468983043982544,0,0.0,0
2024-01-03 08:00:00,385.0,0,1,1.05,8,2,26.51648875601303,0,0.0,0
2024-01-03 09:00:00,238.0,0,1,1.0,9,2,25.90292482693684,0,0.0,0
2024-01-03 10:00:00,186.0,0,0,1.01,10,2,27.32235688344035,0,0.0,0
2024-01-03 11:00:00,184.0,0,0,1.06,11,2,29.45098476432221,0,0.0,0
2024-01-03 12:00:00,199.0,0,0,1.09,12,2,23.858145170009738,0,0.0,0
2024-01-03 13:00:00,160.0,0,0,1.05,13,2,26.168340028891606,0,0.0,0
2024-01-03 14:00:00,219.0,0,0,1.03,14,2,24.59610475624475,0,0.0,0
2024-01-03 15:00:00,123.0,0,0,0.63,15,2,27.49552217429423,0,0.0,0
2024-01-03 16:00:00,156.0,0,0,0.95,16,2,25.829890053897607,0,0.0,0
2024-01-03 17:00:00,222.0,0,1,0.92,17,2,26.14439825196405,0,0.0,0
2024-01-03 18:00:00,298.0,0,1,1.05,18,2,26.141545962265266,0,0.0,0
2024-01-03 19:00:00,298.0,0,1,0.96,19,2,28.067497722441,0,0.0,0
2024-01-03 20:00:00,81.0,0,0,0.93,20,2,22.50813435081159,0,0.0,0
2024-01-03 21:00:00,156.0,0,0,1.05,21,2,22.502721130831606,0,0.0,0
2024-01-03 22:00:00,144.0,0,0,1.05,22,2,24.185154676859973,0,0.0,0
2024-01-03 23:00:00,51.0,0,0,1.1,23,2,23.214573986955,0,0.0,0
2024-01-04 00:00:00,39.0,0,0,1.03,0,3,23.710739992216176,0,0.0,0
2024-01-04 01:00:00,28.0,0,0,0.55,1,3,23.533352185994378,0,0.0,0
2024-01-04 02:00:00,60.0,0,0,1.09,2,3,19.730401956646087,0,0.0,0
2024-01-04 03:00:00,43.0,0,0,0.91,3,3,20.602510732791668,0,0.0,0
2024-01-04 04:00:00,52.0,0,0,1.05,4,3,23.130229913731007,0,0.0,0
2024-01-04 05:00:00,34.0,0,0,0.94,5,3,25.39818792199288,0,0.0,0
2024-01-04 06:00:00,25.0,0,0,0.97,6,3,25.977660333967524,0,0.0,0
2024-01-04 07:00:00,357.0,0,1,1.07,7,3,26.00700686362014,0,0.0,0
2024-01-04 08:00:00,286.0,0,1,1.0,8,3,21.316859234994585,0,0.0,0
2024-01-04 09:00:00,291.0,0,1,1.02,9,3,27.957646383666123,0,0.0,0
2024-01-04 10:00:00,175.0,0,0,0.97,10,3,24.083286646132123,0,0.5987976560424508,0
2024-01-04 11:00:00,91.0,0,0,0.55,11,3,24.221557824943766,0,0.0,0
2024-01-04 12:00:00,207.0,0,0,1.01,12,3,28.006747326001207,0,0.5389763605135225,0
2024-01-04 13:00:00,168.0,0,0,0.9,13,3,31.50382677523035,0,0.0,0
2024-01-04 14:00:00,183.0,0,0,1.06,14,3,30.464064325156052,0,0.0,0
2024-01-04 15:00:00,91.0,0,0,0.92,15,3,28.56755759504479,0,0.0,0
2024-01-04 16:00:00,76.0,0,0,0.54,16,3,27.331109272015418,0,0.0,0
2024-01-04 17:00:00,271.0,0,1,1.06,17,3,23.774087855541374,0,0.0,0
2024-01-04 18:00:00,288.0,0,1,1.0,18,3,21.233078683658906,0,0.0,0
2024-01-04 19:00:00,339.0,0,1,1.03,19,3,25.96859416253404,0,0.0,0
2024-01-04 20:00:00,109.0,0,0,0.76,20,3,25.651652134387994,0,0.0,0
2024-01-04 21:00:00,130.0,0,0,0.99,21,3,25.002873719330875,0,0.0,0
2024-01-04 22:00:00,142.0,0,0,1.06,22,3,22.027349580923396,0,0.0,0
2024-01-04 23:00:00,45.0,0,0,0.93,23,3,23.02958931304886,0,3.694501421497997,0
2024-01-05 00:00:00,52.0,0,0,1.0,0,4,21.014646790452254,0,0.0,0
2024-01-05 01:00:00,31.0,0,0,1.04,1,4,22.26055475615409,0,0.0,0
2024-01-05 02:00:00,43.0,0,0,1.05,2,4,19.32791348826743,0,0.38711399409603725,0
2024-01-05 03:00:00,63.0,0,0,1.09,3,4,25.402838469161196,0,0.0,0
2024-01-05 04:00:00,42.0,0,0,1.01,4,4,22.774096430467072,0,0.1282108587231142,0
2024-01-05 05:00:00,48.0,0,0,0.96,5,4,24.385391597324773,0,0.0,0
2024-01-05 06:00:00,49.0,0,0,1.08,6,4,28.011071844117737,0,0.0,0
2024-01-05 07:00:00,184.0,0,1,0.56,7,4,25.418272705180566,0,0.0,0
2024-01-05 08:00:00,324.0,0,1,0.9,8,4,30.5794370508102,0,0.0,0
2024-01-05 09:00:00,372.0,0,1,0.97,9,4,27.306199972461023,0,0.0,0
2024-01-05 10:00:00,193.0,0,0,1.05,10,4,25.702879811381212,0,0.0,0
2024-01-05 11:00:00,93.0,0,0,0.59,11,4,28.99149702381058,0,0.0,0
2024-01-05 12:00:00,106.0,0,0,0.93,12,4,29.900633245416813,0,0.0,0
2024-01-05 13:00:00,85.0,0,0,0.66,13,4,31.21188292338128,0,0.0,0
2024-01-05 14:00:00,168.0,0,0,1.02,14,4,27.762488246817263,0,0.0,0
2024-01-05 15:00:00,213.0,0,0,1.01,15,4,28.535562752183107,0,0.0,0
2024-01-05 16:00:00,196.0,0,0,1.05,16,4,24.588069908055864,0,1.894472071834085,0
2024-01-05 17:00:00,363.0,0,1,1.06,17,4,26.092723161812753,0,0.0,0
2024-01-05 18:00:00,294.0,0,1,1.03,18,4,23.557522829232365,0,0.0,0
2024-01-05 19:00:00,262.0,0,1,1.01,19,4,26.964818226670126,0,0.08561755991650123,0
2024-01-05 20:00:00,106.0,0,0,0.91,20,4,25.6223691271221,0,0.0,0
2024-01-05 21:00:00,168.0,0,0,1.09,21,4,22.693659120723915,0,0.0,0
2024-01-05 22:00:00,135.0,0,0,1.1,22,4,25.503385411768953,0,0.0,0
2024-01-05 23:00:00,51.0,0,0,1.06,23,4,24.584616518226504,0,0.0,0
2024-01-06 00:00:00,24.0,1,0,0.96,0,5,24.381072828118096,0,0.0,0
2024-01-06 01:00:00,33.0,1,0,1.1,1,5,23.01659980068645,0,0.0,0
2024-01-06 02:00:00,30.0,1,0,0.97,2,5,21.800472332649154,0,0.0,0
2024-01-06 03:00:00,31.0,1,0,1.05,3,5,20.974512389113674,0,0.0,0
2024-01-06 04:00:00,18.0,1,0,0.91,4,5,22.892981634009864,0,0.0,0
2024-01-06 05:00:00,21.0,1,0,0.94,5,5,22.589786866663545,0,0.0,0
2024-01-06 06:00:00,16.0,1,0,0.54,6,5,27.28105214745997,0,0.21517493205148888,0
2024-01-06 07:00:00,189.0,1,1,1.02,7,5,27.93675686987789,0,0.7477640661706683,0
2024-01-06 08:00:00,177.0,1,1,0.92,8,5,27.4191110722153,0,0.0,0
2024-01-06 09:00:00,127.0,1,1,1.05,9,5,26.123662184340866,0,0.0,0
2024-01-06 10:00:00,103.0,1,0,0.92,10,5,31.889790624401495,0,0.0,0
2024-01-06 11:00:00,79.0,1,0,1.02,11,5,25.113244916446835,0,0.5864451049187624,0
2024-01-06 12:00:00,64.0,1,0,0.51,12,5,25.640138722122096,0,0.7619783440323089,0
2024-01-06 13:00:00,120.0,1,0,1.05,13,5,28.27630395316428,0,0.0,0
2024-01-06 14:00:00,96.0,1,0,1.08,14,5,27.290319265045405,0,0.0,0
2024-01-06 15:00:00,72.0,1,0,0.71,15,5,30.64226049361273,0,0.0,0
2024-01-06 16:00:00,117.0,1,0,1.07,16,5,25.814168065223274,0,0.0,0
2024-01-06 17:00:00,205.0,1,1,1.08,17,5,27.870904963193592,0,0.0,0
2024-01-06 18:00:00,165.0,1,1,0.92,18,5,25.712820168351215,0,2.2238658371083666,0
2024-01-06 19:00:00,198.0,1,1,1.09,19,5,23.471483311478003,0,0.0,0
2024-01-06 20:00:00,72.0,1,0,1.08,20,5,26.247300290089896,0,0.0,0
2024-01-06 21:00:00,58.0,1,0,0.6,21,5,22.071146318225676,0,0.0,0
2024-01-06 22:00:00,79.0,1,0,0.93,22,5,22.802060129953713,0,0.0,0
2024-01-06 23:00:00,24.0,1,0,0.78,23,5,22.167026043718618,0,0.0,0
2024-01-07 00:00:00,16.0,1,0,0.77,0,6,21.663703464478125,0,0.0,0
2024-01-07 01:00:00,13.0,1,0,0.74,1,6,22.162464661563195,0,0.0,0
2024-01-07 02:00:00,25.0,1,0,0.92,2,6,21.44751567499995,0,0.0,0
2024-01-07 03:00:00,28.0,1,0,1.09,3,6,26.116043746178132,0,0.0,0
2024-01-07 04:00:00,22.0,1,0,0.95,4,6,24.272730113506956,0,0.0,0
2024-01-07 05:00:00,19.0,1,0,0.94,5,6,24.2868934852367,0,1.1814002404753594,0
2024-01-07 06:00:00,24.0,1,0,1.04,6,6,21.837518708489288,0,0.0,0
2024-01-07 07:00:00,213.0,1,1,1.06,7,6,27.355579329799223,0,0.0,0
2024-01-07 08:00:00,166.0,1,1,1.05,8,6,31.089298494473883,0,0.0,0
2024-01-07 09:00:00,175.0,1,1,1.05,9,6,28.63778899446747,0,0.0,0
2024-01-07 10:00:00,109.0,1,0,1.04,10,6,28.172195609666378,0,0.3421858935581286,0
2024-01-07 11:00:00,118.0,1,0,0.98,11,6,27.587822792232462,0,0.0,0
2024-01-07 12:00:00,94.0,1,0,1.08,12,6,25.350586656125316,0,0.0,0
2024-01-07 13:00:00,115.0,1,0,1.05,13,6,29.055992779734726,0,0.0,0
2024-01-07 14:00:00,94.0,1,0,1.0,14,6,29.675267469548817,0,0.0,0
2024-01-07 15:00:00,72.0,1,0,0.99,15,6,27.350182803772707,0,0.0,0
2024-01-07 16:00:00,103.0,1,0,0.98,16,6,26.640138664279146,0,0.0,0
2024-01-07 17:00:00,171.0,1,1,0.96,17,6,32.286637402438544,0,0.0,0
2024-01-07 18:00:00,133.0,1,1,1.09,18,6,27.271049331607887,0,0.0,0
2024-01-07 19:00:00,159.0,1,1,1.02,19,6,25.91729148586252,0,0.0,0
2024-01-07 20:00:00,106.0,1,0,1.02,20,6,20.49553122265392,0,0.0,0
2024-01-07 21:00:00,72.0,1,0,1.04,21,6,22.511638942330446,0,0.0,0
2024-01-07 22:00:00,82.0,1,0,1.02,22,6,22.7868054759744,0,0.0,0
2024-01-07 23:00:00,12.0,1,0,0.53,23,6,22.3723727600181,0,0.0,0
