timestamp,bus_id,route_id,lat,lng,speed,stop_name,stop_sequence
2024-01-01 00:47:00,KA-01-500-1409,500,12.974084,77.593909,23,Majestic,1
2024-01-01 00:52:00,KA-01-500-1409,500,12.978838,77.606215,22,City Railway Station,2
2024-01-01 00:57:00,KA-01-500-1409,500,12.978429,77.601429,22,Chickpet,3
2024-01-01 01:02:00,KA-01-500-1409,500,12.991496,77.610437,19,Avenue Road,4
2024-01-01 01:07:00,KA-01-500-1409,500,12.985253,77.613313,38,K.R. Market,5
2024-01-01 00:43:00,KA-01-500-2679,500,12.969283,77.592271,38,Majestic,1
2024-01-01 00:48:00,KA-01-500-2679,500,12.97681,77.589034,43,City Railway Station,2
2024-01-01 00:53:00,KA-01-500-2679,500,12.970975,77.599789,32,Chickpet,3
2024-01-01 00:58:00,KA-01-500-2679,500,12.978536,77.608171,17,Avenue Road,4
2024-01-01 01:03:00,KA-01-500-2679,500,12.98306,77.603538,33,K.R. Market,5
2024-01-01 00:01:00,KA-01-501-1520,501,12.988928,77.603471,17,Silk Board,1
2024-01-01 00:06:00,KA-01-501-1520,501,12.985938,77.601476,21,BTM Layout,2
2024-01-01 00:11:00,KA-01-501-1520,501,12.986878,77.613155,22,Bommanahalli,3
2024-01-01 00:16:00,KA-01-501-1520,501,12.987845,77.618478,31,Hongasandra,4
2024-01-01 00:21:00,KA-01-501-1520,501,12.994597,77.619142,34,Electronic City,5
2024-01-01 00:35:00,KA-01-501-1434,501,12.978591,77.613861,21,Silk Board,1
2024-01-01 00:40:00,KA-01-501-1434,501,12.985533,77.603311,37,BTM Layout,2
2024-01-01 00:45:00,KA-01-501-1434,501,12.993713,77.606496,35,Bommanahalli,3
2024-01-01 00:50:00,KA-01-501-1434,501,12.994644,77.606802,37,Hongasandra,4
2024-01-01 00:55:00,KA-01-501-1434,501,12.990959,77.621584,32,Electronic City,5
2024-01-01 00:14:00,KA-01-501-7873,501,12.985292,77.605457,29,Silk Board,1
2024-01-01 00:19:00,KA-01-501-7873,501,12.985022,77.607094,33,BTM Layout,2
2024-01-01 00:24:00,KA-01-501-7873,501,12.982207,77.609001,23,Bommanahalli,3
2024-01-01 00:29:00,KA-01-501-7873,501,12.991297,77.621886,40,Hongasandra,4
2024-01-01 00:34:00,KA-01-501-7873,501,12.999318,77.611785,42,Electronic City,5
2024-01-01 00:48:00,KA-01-501-1106,501,12.98322,77.602675,40,Silk Board,1
2024-01-01 00:53:00,KA-01-501-1106,501,12.982215,77.611658,20,BTM Layout,2
2024-01-01 00:58:00,KA-01-501-1106,501,12.994755,77.617256,37,Bommanahalli,3
2024-01-01 01:03:00,KA-01-501-1106,501,12.989404,77.615054,28,Hongasandra,4
2024-01-01 01:08:00,KA-01-501-1106,501,12.999256,77.625478,25,Electronic City,5
2024-01-01 00:09:00,KA-01-501-5552,501,12.979204,77.603672,21,Silk Board,1
2024-01-01 00:14:00,KA-01-501-5552,501,12.980068,77.602619,45,BTM Layout,2
2024-01-01 00:19:00,KA-01-501-5552,501,12.993663,77.619381,39,Bommanahalli,3
2024-01-01 00:24:00,KA-01-501-5552,501,12.99324,77.621618,25,Hongasandra,4
2024-01-01 00:29:00,KA-01-501-5552,501,12.999408,77.617374,18,Electronic City,5
2024-01-01 00:06:00,KA-01-502-7224,502,12.993407,77.62229,26,Whitefield,1
2024-01-01 00:11:00,KA-01-502-7224,502,12.995421,77.626423,42,ITPL,2
2024-01-01 00:16:00,KA-01-502-7224,502,12.986501,77.62671,26,Brookefield,3
2024-01-01 00:21:00,KA-01-502-7224,502,13.004035,77.625105,34,Kundalahalli,4
2024-01-01 00:26:00,KA-01-502-7224,502,13.008059,77.620662,23,Marathahalli,5
2024-01-01 00:46:00,KA-01-502-1711,502,12.990502,77.616386,29,Whitefield,1
2024-01-01 00:51:00,KA-01-502-1711,502,13.002989,77.616009,32,ITPL,2
2024-01-01 00:56:00,KA-01-502-1711,502,12.995558,77.620091,18,Brookefield,3
2024-01-01 01:01:00,KA-01-502-1711,502,13.008177,77.628244,44,Kundalahalli,4
2024-01-01 01:06:00,KA-01-502-1711,502,13.004951,77.633166,27,Marathahalli,5
2024-01-01 00:53:00,KA-01-503-5803,503,13.002085,77.629443,35,Koramangala,1
2024-01-01 00:58:00,KA-01-503-5803,503,13.00209,77.626962,34,5th Block,2
2024-01-01 01:03:00,KA-01-503-5803,503,13.007639,77.625282,43,Wilson Garden,3
2024-01-01 01:08:00,KA-01-503-5803,503,13.015081,77.637905,42,4th Block Jayanagar,4
2024-01-01 01:13:00,KA-01-503-5803,503,13.017626,77.639427,26,Jayanagar,5
2024-01-01 00:45:00,KA-01-503-4150,503,12.994523,77.622497,17,Koramangala,1
2024-01-01 00:50:00,KA-01-503-4150,503,13.003886,77.624589,16,5th Block,2
2024-01-01 00:55:00,KA-01-503-4150,503,13.008794,77.63462,36,Wilson Garden,3
2024-01-01 01:00:00,KA-01-503-4150,503,13.023031,77.637473,22,4th Block Jayanagar,4
2024-01-01 01:05:00,KA-01-503-4150,503,13.018888,77.640228,39,Jayanagar,5
2024-01-01 00:54:00,KA-01-504-2307,504,13.002006,77.634467,22,Indiranagar,1
2024-01-01 00:59:00,KA-01-504-2307,504,13.015901,77.650916,42,100 Feet Road,2
2024-01-01 01:04:00,KA-01-504-2307,504,13.018638,77.644108,18,HAL,3
2024-01-01 01:09:00,KA-01-504-2307,504,13.023426,77.640757,27,Trinity,4
2024-01-01 01:14:00,KA-01-504-2307,504,13.033314,77.65436,23,MG Road,5
2024-01-01 00:40:00,KA-01-504-8428,504,13.015555,77.630053,41,Indiranagar,1
2024-01-01 00:45:00,KA-01-504-8428,504,13.022614,77.631591,26,100 Feet Road,2
2024-01-01 00:50:00,KA-01-504-8428,504,13.022534,77.653552,20,HAL,3
2024-01-01 00:55:00,KA-01-504-8428,504,13.018647,77.643769,26,Trinity,4
2024-01-01 01:00:00,KA-01-504-8428,504,13.028098,77.648083,26,MG Road,5
2024-01-01 00:42:00,KA-01-504-4432,504,13.003847,77.634943,23,Indiranagar,1
2024-01-01 00:47:00,KA-01-504-4432,504,13.010288,77.640968,37,100 Feet Road,2
2024-01-01 00:52:00,KA-01-504-4432,504,13.015003,77.65035,44,HAL,3
2024-01-01 00:57:00,KA-01-504-4432,504,13.019684,77.64499,36,Trinity,4
2024-01-01 01:02:00,KA-01-504-4432,504,13.031668,77.644446,35,MG Road,5
2024-01-01 00:38:00,KA-01-504-2169,504,13.012737,77.641136,35,Indiranagar,1
2024-01-01 00:43:00,KA-01-504-2169,504,13.007563,77.639523,20,100 Feet Road,2
2024-01-01 00:48:00,KA-01-504-2169,504,13.020899,77.646509,32,HAL,3
2024-01-01 00:53:00,KA-01-504-2169,504,13.017415,77.639998,38,Trinity,4
2024-01-01 00:58:00,KA-01-504-2169,504,13.03021,77.652085,22,MG Road,5
2024-01-01 01:24:00,KA-01-500-8573,500,12.972852,77.596332,23,Majestic,1
2024-01-01 01:29:00,KA-01-500-8573,500,12.9722,77.599761,44,City Railway Station,2
2024-01-01 01:34:00,KA-01-500-8573,500,12.981065,77.599028,35,Chickpet,3
2024-01-01 01:39:00,KA-01-500-8573,500,12.992929,77.608969,37,Avenue Road,4
2024-01-01 01:44:00,KA-01-500-8573,500,12.981643,77.613883,32,K.R. Market,5
2024-01-01 01:43:00,KA-01-500-4598,500,12.966727,77.598535,25,Majestic,1
2024-01-01 01:48:00,KA-01-500-4598,500,12.981393,77.594497,41,City Railway Station,2
2024-01-01 01:53:00,KA-01-500-4598,500,12.984417,77.604664,39,Chickpet,3
2024-01-01 01:58:00,KA-01-500-4598,500,12.98771,77.616084,39,Avenue Road,4
2024-01-01 02:03:00,KA-01-500-4598,500,12.986373,77.606831,16,K.R. Market,5
2024-01-01 01:52:00,KA-01-500-4752,500,12.967152,77.590521,16,Majestic,1
2024-01-01 01:57:00,KA-01-500-4752,500,12.975214,77.600306,40,City Railway Station,2
2024-01-01 02:02:00,KA-01-500-4752,500,12.980983,77.606736,25,Chickpet,3
2024-01-01 02:07:00,KA-01-500-4752,500,12.983665,77.613868,27,Avenue Road,4
2024-01-01 02:12:00,KA-01-500-4752,500,12.986277,77.624201,23,K.R. Market,5
2024-01-01 01:58:00,KA-01-501-4456,501,12.984728,77.600314,45,Silk Board,1
2024-01-01 02:03:00,KA-01-501-4456,501,12.980246,77.611012,33,BTM Layout,2
2024-01-01 02:08:00,KA-01-501-4456,501,12.988483,77.61617,43,Bommanahalli,3
2024-01-01 02:13:00,KA-01-501-4456,501,12.995966,77.616236,37,Hongasandra,4
2024-01-01 02:18:00,KA-01-501-4456,501,12.993366,77.613026,25,Electronic City,5
2024-01-01 01:41:00,KA-01-501-4483,501,12.979367,77.608882,30,Silk Board,1
2024-01-01 01:46:00,KA-01-501-4483,501,12.98667,77.602371,27,BTM Layout,2
2024-01-01 01:51:00,KA-01-501-4483,501,12.990466,77.614527,43,Bommanahalli,3
2024-01-01 01:56:00,KA-01-501-4483,501,12.989181,77.617369,44,Hongasandra,4
2024-01-01 02:01:00,KA-01-501-4483,501,12.997891,77.614885,35,Electronic City,5
2024-01-01 01:16:00,KA-01-502-3340,502,12.993389,77.617404,19,Whitefield,1
2024-01-01 01:21:00,KA-01-502-3340,502,13.001015,77.623869,22,ITPL,2
2024-01-01 01:26:00,KA-01-502-3340,502,12.992712,77.617911,38,Brookefield,3
2024-01-01 01:31:00,KA-01-502-3340,502,13.006175,77.629169,32,Kundalahalli,4
2024-01-01 01:36:00,KA-01-502-3340,502,13.010175,77.649864,32,Marathahalli,5
2024-01-01 01:47:00,KA-01-502-5304,502,12.994454,77.620278,33,Whitefield,1
2024-01-01 01:52:00,KA-01-502-5304,502,13.00037,77.621857,28,ITPL,2
2024-01-01 01:57:00,KA-01-502-5304,502,12.998024,77.626395,43,Brookefield,3
2024-01-01 02:02:00,KA-01-502-5304,502,12.999736,77.625416,33,Kundalahalli,4
2024-01-01 02:07:00,KA-01-502-5304,502,13.005173,77.631009,27,Marathahalli,5
2024-01-01 01:14:00,KA-01-502-6930,502,13.003173,77.605264,19,Whitefield,1
2024-01-01 01:19:00,KA-01-502-6930,502,12.999031,77.610536,31,ITPL,2
2024-01-01 01:24:00,KA-01-502-6930,502,12.99724,77.628045,30,Brookefield,3
2024-01-01 01:29:00,KA-01-502-6930,502,13.003921,77.621211,17,Kundalahalli,4
2024-01-01 01:34:00,KA-01-502-6930,502,13.004023,77.633998,39,Marathahalli,5
2024-01-01 01:55:00,KA-01-502-1771,502,12.987948,77.615682,18,Whitefield,1
2024-01-01 02:00:00,KA-01-502-1771,502,12.995828,77.615342,19,ITPL,2
2024-01-01 02:05:00,KA-01-502-1771,502,13.01032,77.62577,35,Brookefield,3
2024-01-01 02:10:00,KA-01-502-1771,502,12.993474,77.627532,20,Kundalahalli,4
2024-01-01 02:15:00,KA-01-502-1771,502,13.004291,77.634862,40,Marathahalli,5
2024-01-01 01:38:00,KA-01-502-7916,502,12.987637,77.614026,17,Whitefield,1
2024-01-01 01:43:00,KA-01-502-7916,502,12.998125,77.622929,27,ITPL,2
2024-01-01 01:48:00,KA-01-502-7916,502,12.993599,77.620927,27,Brookefield,3
2024-01-01 01:53:00,KA-01-502-7916,502,13.001225,77.623333,34,Kundalahalli,4
2024-01-01 01:58:00,KA-01-502-7916,502,13.016427,77.632625,29,Marathahalli,5
2024-01-01 01:35:00,KA-01-503-5119,503,12.995296,77.629189,42,Koramangala,1
2024-01-01 01:40:00,KA-01-503-5119,503,13.016211,77.633762,45,5th Block,2
2024-01-01 01:45:00,KA-01-503-5119,503,13.002003,77.630179,15,Wilson Garden,3
2024-01-01 01:50:00,KA-01-503-5119,503,13.019935,77.633062,36,4th Block Jayanagar,4
2024-01-01 01:55:00,KA-01-503-5119,503,13.019819,77.644473,38,Jayanagar,5
2024-01-01 01:43:00,KA-01-503-2876,503,12.996965,77.624302,43,Koramangala,1
2024-01-01 01:48:00,KA-01-503-2876,503,12.989394,77.623478,32,5th Block,2
2024-01-01 01:53:00,KA-01-503-2876,503,13.008337,77.626361,39,Wilson Garden,3
2024-01-01 01:58:00,KA-01-503-2876,503,13.021762,77.629449,23,4th Block Jayanagar,4
2024-01-01 02:03:00,KA-01-503-2876,503,13.0154,77.641254,39,Jayanagar,5
2024-01-01 01:07:00,KA-01-503-6573,503,13.008806,77.617421,24,Koramangala,1
2024-01-01 01:12:00,KA-01-503-6573,503,13.011416,77.628651,28,5th Block,2
2024-01-01 01:17:00,KA-01-503-6573,503,13.004692,77.634911,20,Wilson Garden,3
2024-01-01 01:22:00,KA-01-503-6573,503,13.014595,77.633599,29,4th Block Jayanagar,4
2024-01-01 01:27:00,KA-01-503-6573,503,13.017949,77.638673,15,Jayanagar,5
2024-01-01 01:32:00,KA-01-503-5315,503,13.002168,77.627911,39,Koramangala,1
2024-01-01 01:37:00,KA-01-503-5315,503,13.01353,77.622411,20,5th Block,2
2024-01-01 01:42:00,KA-01-503-5315,503,13.020265,77.62284,31,Wilson Garden,3
2024-01-01 01:47:00,KA-01-503-5315,503,13.012841,77.639542,44,4th Block Jayanagar,4
2024-01-01 01:52:00,KA-01-503-5315,503,13.019005,77.637487,18,Jayanagar,5
2024-01-01 01:53:00,KA-01-503-5889,503,13.000559,77.622135,35,Koramangala,1
2024-01-01 01:58:00,KA-01-503-5889,503,13.002653,77.632848,31,5th Block,2
2024-01-01 02:03:00,KA-01-503-5889,503,13.011385,77.629135,34,Wilson Garden,3
